Date,Open,High,Low,Close,"Daily Change %"
21-Jul-2023,11.79,12.03,11.06,11.49,-2.54
20-Jul-2023,11.6,12.26,11.37,11.79,1.64
19-Jul-2023,11.71,11.94,11.54,11.6,-0.94
18-Jul-2023,11.32,12.02,11.07,11.71,3.45
17-Jul-2023,10.68,11.4,9.86,11.32,5.99
14-Jul-2023,10.94,10.94,10.61,10.68,-2.38
13-Jul-2023,10.94,11.17,10.7,10.94,0.00
12-Jul-2023,11.01,11.2,10.72,10.94,-0.64
11-Jul-2023,11.46,11.46,10.95,11.01,-3.93
10-Jul-2023,11.53,12.01,11.36,11.46,-0.61
07-Jul-2023,11.84,12.07,11.08,11.53,-2.62
06-Jul-2023,11.88,12.21,11.78,11.84,-0.34
05-Jul-2023,11.7,12.21,11.57,11.88,1.54
04-Jul-2023,11.54,11.99,11.52,11.7,1.39
03-Jul-2023,10.8,12.03,10.8,11.54,6.85
30-Jun-2023,10.89,11.22,10.07,10.8,-0.83
28-Jun-2023,10.78,11.54,10.65,10.89,1.02
27-Jun-2023,11.4,11.42,10.69,10.78,-5.44
26-Jun-2023,11.24,11.93,11.24,11.4,1.42
23-Jun-2023,11.55,11.84,11.14,11.24,-2.68
22-Jun-2023,11.29,11.71,10.69,11.55,2.30
21-Jun-2023,11.13,11.43,10.77,11.29,1.44
20-Jun-2023,11.23,11.44,10.57,11.13,-0.89
19-Jun-2023,10.84,11.5,10.33,11.23,3.60
16-Jun-2023,11.08,11.08,10.56,10.84,-2.17
15-Jun-2023,11.16,11.37,9.69,11.08,-0.72
14-Jun-2023,11.11,11.37,10.63,11.16,0.45
13-Jun-2023,11.25,11.25,9.99,11.11,-1.24
12-Jun-2023,11.12,11.8,10.58,11.25,1.17
09-Jun-2023,11.26,11.3,10.31,11.12,-1.24
08-Jun-2023,11.44,11.57,10.13,11.26,-1.57
07-Jun-2023,11.38,11.54,9.64,11.44,0.53
06-Jun-2023,11.14,11.62,10.47,11.38,2.15
05-Jun-2023,11.13,11.34,10.32,11.14,0.09
02-Jun-2023,11.6,11.74,10.86,11.13,-4.05
01-Jun-2023,11.97,11.97,11.22,11.6,-3.09
31-May-2023,12.01,12.47,11.58,11.97,-0.33
30-May-2023,12.3,12.38,11.77,12.01,-2.36
29-May-2023,11.9,12.49,8.81,12.3,3.36
26-May-2023,12.52,12.86,11.7,11.9,-4.95
25-May-2023,13.11,13.13,8.18,12.52,-4.50
24-May-2023,12.61,13.44,12.41,13.11,3.97
23-May-2023,12.57,13.08,12.32,12.61,0.32
22-May-2023,12.3,12.82,11.56,12.57,2.20
19-May-2023,12.8,12.82,11.69,12.3,-3.91
18-May-2023,13.29,13.58,11.9,12.8,-3.69
17-May-2023,13.29,13.58,11.9,13.11,-1.35
16-May-2023,13.17,13.49,11.71,13.29,0.91
15-May-2023,12.85,13.62,12.54,13.17,2.49
12-May-2023,13.22,13.51,12.74,12.85,-2.80
11-May-2023,13.08,13.74,12.82,13.22,1.07
10-May-2023,12.68,13.3,11.54,13.08,3.15
09-May-2023,12.64,12.82,11.66,12.68,0.32
08-May-2023,12.3,12.91,11.72,12.64,2.76
05-May-2023,11.73,12.38,11.53,12.3,4.86
04-May-2023,11.9,12.03,11.19,11.73,-1.43
03-May-2023,11.9,12.25,11.13,11.84,-0.50
02-May-2023,10.95,12.06,10.95,11.9,8.68
28-Apr-2023,11.43,11.54,10.79,10.95,-4.20
27-Apr-2023,11.65,12.02,10.96,11.43,-1.89
26-Apr-2023,11.52,11.9,11.3,11.65,1.13
25-Apr-2023,11.67,11.81,11.43,11.52,-1.29
24-Apr-2023,11.63,12.21,11.58,11.67,0.34
21-Apr-2023,11.94,12.04,11.52,11.63,-2.60
20-Apr-2023,12.15,12.4,11.58,11.94,-1.73
19-Apr-2023,12.08,12.47,11.11,12.15,0.58
18-Apr-2023,12.27,12.53,11.86,12.08,-1.55
17-Apr-2023,11.91,13.27,11.91,12.27,3.02
13-Apr-2023,12.27,12.51,11.84,11.91,-2.93
12-Apr-2023,11.98,12.4,11.98,12.27,2.42
11-Apr-2023,12.27,12.27,11.67,11.98,-2.36
10-Apr-2023,11.8,12.56,11.8,12.27,3.98
06-Apr-2023,12.41,12.57,11.65,11.8,-4.92
05-Apr-2023,12.59,12.81,12.05,12.41,-1.43
03-Apr-2023,12.94,13.47,12.47,12.59,-2.70
31-Mar-2023,13.63,13.63,12.07,12.94,-5.06
29-Mar-2023,15.1,15.1,13.32,13.63,-9.74
28-Mar-2023,15.45,15.61,14.87,15.1,-2.27
27-Mar-2023,15.24,16.09,15.1,15.45,1.38
24-Mar-2023,14.49,15.43,14.2,15.24,5.18
23-Mar-2023,14.81,15.06,13.9,14.49,-2.16
22-Mar-2023,15.08,15.09,14.24,14.81,-1.79
21-Mar-2023,16.01,16.04,14.08,15.08,-5.81
20-Mar-2023,14.77,17.22,14.52,16.01,8.40
17-Mar-2023,16.22,16.22,14.6,14.77,-8.94
16-Mar-2023,16.3,17.36,13.95,16.22,-0.49
15-Mar-2023,16.22,16.51,14.52,16.3,0.49
14-Mar-2023,16.22,16.64,15,16.22,0.00
13-Mar-2023,13.41,16.43,13.41,16.22,20.95
10-Mar-2023,12.73,13.82,12.73,13.41,5.34
09-Mar-2023,12.45,12.84,11.78,12.73,2.25
08-Mar-2023,12.27,12.85,11.9,12.45,1.47
06-Mar-2023,12.18,12.47,11.84,12.27,0.74
03-Mar-2023,12.97,12.97,11.98,12.18,-6.09
02-Mar-2023,13,13.55,11.1,12.97,-0.23
01-Mar-2023,14.02,14.02,12.28,13,-7.28
28-Feb-2023,13.88,14.57,13.5,14.02,1.01
27-Feb-2023,14.19,15.1,13.75,13.88,-2.18
24-Feb-2023,15.08,15.14,14.01,14.19,-5.90
23-Feb-2023,15.59,16.01,14.52,15.08,-3.27
22-Feb-2023,14.01,15.92,12.38,15.59,11.28
21-Feb-2023,13.38,14.3,13.38,14.01,4.71
20-Feb-2023,13.09,13.71,10.92,13.38,2.22
17-Feb-2023,12.89,13.52,10.8,13.09,1.55
16-Feb-2023,12.86,13.16,10.17,12.89,0.23
15-Feb-2023,13.45,13.45,11.28,12.86,-4.39
14-Feb-2023,13.68,13.68,12.45,13.45,-1.68
13-Feb-2023,12.75,14.1,11.83,13.68,7.29
10-Feb-2023,13.04,13.28,12.21,12.75,-2.22
09-Feb-2023,13.6,13.82,12.06,13.04,-4.12
08-Feb-2023,14.13,14.25,13.54,13.6,-3.75
07-Feb-2023,14.69,14.88,13.67,14.13,-3.81
06-Feb-2023,14.4,15.21,14.19,14.69,2.01
03-Feb-2023,15.73,15.76,14.27,14.4,-8.46
02-Feb-2023,16.78,17.77,15.51,15.73,-6.26
01-Feb-2023,16.88,18.54,14.85,16.78,-0.59
31-Jan-2023,17.32,18.37,16.57,16.88,-2.54
30-Jan-2023,17.32,19.39,17.29,17.71,2.25
27-Jan-2023,14.66,18.01,14.58,17.32,18.14
25-Jan-2023,13.66,15.42,13.52,14.66,7.32
24-Jan-2023,13.62,13.81,13.3,13.66,0.29
23-Jan-2023,13.79,14.26,13.48,13.62,-1.23
20-Jan-2023,13.96,14.19,11.64,13.79,-1.22
19-Jan-2023,14.37,14.83,13.89,13.96,-2.85
18-Jan-2023,14.59,14.75,12.47,14.37,-1.51
17-Jan-2023,15.02,15.31,13.84,14.59,-2.86
16-Jan-2023,14.46,15.36,14.46,15.02,3.87
13-Jan-2023,15.28,15.6,14.4,14.46,-5.37
12-Jan-2023,15.44,16.04,14.42,15.28,-1.04
11-Jan-2023,15.51,16.23,15.12,15.44,-0.45
10-Jan-2023,14.65,15.94,14.56,15.51,5.87
09-Jan-2023,15.03,15.38,14.53,14.65,-2.53
06-Jan-2023,14.98,15.44,14.62,15.03,0.33
05-Jan-2023,15.2,15.6,14.81,14.98,-1.45
04-Jan-2023,14.39,15.68,14.33,15.2,5.63
03-Jan-2023,14.69,14.99,14.31,14.39,-2.04
02-Jan-2023,14.87,15.45,14.57,14.69,-1.21
30-Dec-2022,14.81,15.12,14.28,14.87,0.41
29-Dec-2022,15.4,15.77,14.71,14.81,-3.83
28-Dec-2022,15.29,15.65,15.27,15.4,0.72
27-Dec-2022,15.93,16.13,14.93,15.29,-4.02
26-Dec-2022,16.16,17.23,14.31,15.93,-1.42
23-Dec-2022,15.19,16.48,14.48,16.16,6.39
22-Dec-2022,15.56,16.3,14.44,15.19,-2.38
21-Dec-2022,13.78,16.01,12.46,15.56,12.92
20-Dec-2022,13.55,14.92,13.04,13.78,1.70
19-Dec-2022,14.07,14.49,13.5,13.55,-3.70
16-Dec-2022,13.73,14.22,12.49,14.07,2.48
15-Dec-2022,12.89,13.88,12.59,13.73,6.52
14-Dec-2022,12.88,13.08,11.53,12.89,0.08
13-Dec-2022,13.32,13.58,11.43,12.88,-3.30
12-Dec-2022,13.48,14.15,12.53,13.32,-1.19
09-Dec-2022,13.4,13.96,11.91,13.48,0.60
08-Dec-2022,14.08,14.89,13.26,13.4,-4.83
07-Dec-2022,14.04,14.46,13.8,14.08,0.28
06-Dec-2022,13.73,14.25,12.18,14.04,2.26
05-Dec-2022,13.45,14.42,13.45,13.73,2.08
02-Dec-2022,13.36,14.09,12.96,13.45,0.67
28-Jan-2022,21.07,21.32,20.28,20.7,-1.76
27-Jan-2022,21.36,23.87,20.44,21.07,-1.36
25-Jan-2022,22.83,24.14,21.18,21.36,-6.44
24-Jan-2022,18.89,23.9,18.89,22.83,20.86
21-Jan-2022,17.79,19.61,16.98,18.89,6.18
20-Jan-2022,17.82,18.45,17.32,17.79,-0.17
19-Jan-2022,17.78,18.45,15.94,17.82,0.22
18-Jan-2022,16.77,17.88,16.77,17.78,6.02
17-Jan-2022,16.56,17.55,16.27,16.77,1.27
14-Jan-2022,16.71,17.1,15.34,16.56,-0.90
13-Jan-2022,17.18,17.53,16.61,16.71,-2.74
12-Jan-2022,17.76,17.93,16.55,17.18,-3.27
11-Jan-2022,17.68,18.25,16.44,17.76,0.45
10-Jan-2022,17.6,18.39,15.84,17.68,0.45
07-Jan-2022,17.98,18.09,16.86,17.6,-2.11
06-Jan-2022,17.23,18.42,16.4,17.98,4.35
05-Jan-2022,16.12,17.38,15.09,17.23,6.89
04-Jan-2022,16.45,16.68,15.71,16.12,-2.01
03-Jan-2022,16.22,16.81,15.45,16.45,1.42
31-Dec-2021,16.57,16.77,15.4,16.22,-2.11
30-Dec-2021,16.24,16.79,15.29,16.57,2.03
29-Dec-2021,16.48,16.86,15.8,16.24,-1.46
28-Dec-2021,17.12,17.12,15.21,16.48,-3.74
27-Dec-2021,16.15,17.28,15.26,17.12,6.01
24-Dec-2021,15.83,16.65,15.33,16.15,2.02
23-Dec-2021,16.58,16.58,15.68,15.83,-4.52
22-Dec-2021,17.54,17.54,15.69,16.58,-5.47
21-Dec-2021,18.97,18.97,16.63,17.54,-7.54
20-Dec-2021,16.34,20.14,16.34,18.97,16.10
17-Dec-2021,15.9,16.91,13.76,16.34,2.77
16-Dec-2021,17.22,17.22,15.26,15.9,-7.67
15-Dec-2021,16.95,17.71,15.77,17.22,1.59
14-Dec-2021,16.57,17.33,13.94,16.95,2.29
13-Dec-2021,16.06,16.86,14.68,16.57,3.18
10-Dec-2021,16.6,16.93,15.21,16.06,-3.25
09-Dec-2021,17.27,17.44,15.54,16.6,-3.88
08-Dec-2021,18.46,18.46,16.57,17.27,-6.45
07-Dec-2021,20.08,20.08,18.24,18.46,-8.07
06-Dec-2021,18.46,20.48,18.3,20.08,8.78
03-Dec-2021,18.09,18.83,17.21,18.46,2.05
02-Dec-2021,19.45,22.97,18,18.09,-6.99
01-Dec-2021,21.17,21.17,18.94,19.45,-8.12
30-Nov-2021,20.83,21.97,18.81,21.17,1.63
29-Nov-2021,20.8,23.82,18.89,20.83,0.14
26-Nov-2021,16.66,21.39,16.05,20.8,24.85
25-Nov-2021,17.1,18.07,16,16.66,-2.57
24-Nov-2021,18.02,18.02,15.58,17.1,-5.11
23-Nov-2021,17.52,20.03,16.79,18.02,2.85
22-Nov-2021,14.86,18.08,13.56,17.52,17.90
18-Nov-2021,14.98,16.15,12.08,14.86,-0.80
17-Nov-2021,15.2,15.41,13.92,14.98,-1.45
16-Nov-2021,15.47,15.68,13.58,15.2,-1.75
15-Nov-2021,15.22,15.84,13.43,15.47,1.64
12-Nov-2021,16.35,16.35,14.65,15.22,-6.91
11-Nov-2021,16.31,17.29,14.65,16.35,0.25
10-Nov-2021,16,16.69,15.14,16.31,1.94
09-Nov-2021,16.34,16.62,14.64,16,-2.08
08-Nov-2021,15.75,16.93,13.99,16.34,3.75
04-Nov-2021,16.13,16.41,14.31,15.75,-2.36
03-Nov-2021,17.06,17.06,15.7,16.13,-5.45
02-Nov-2021,17.24,17.79,16.36,17.06,-1.04
01-Nov-2021,17.43,18.1,15.38,17.24,-1.09
29-Oct-2021,17.91,19.64,16.28,17.43,-2.68
28-Oct-2021,16.83,18.43,16.81,17.91,6.42
27-Oct-2021,16.75,17.03,15.4,16.83,0.48
26-Oct-2021,17.61,17.73,16.65,16.75,-4.88
25-Oct-2021,17.55,18.76,14.51,17.61,0.34
22-Oct-2021,18.04,18.04,14.36,17.55,-2.72
21-Oct-2021,18.31,18.8,14.91,18.04,-1.47
20-Oct-2021,17.38,18.87,15.23,18.31,5.35
19-Oct-2021,17.19,17.54,14.24,17.38,1.11
18-Oct-2021,15.77,17.32,14.16,17.19,9.00
14-Oct-2021,16.1,16.29,12.61,15.77,-2.05
13-Oct-2021,15.85,16.22,13.38,16.1,1.58
12-Oct-2021,16.09,16.4,13.94,15.85,-1.49
11-Oct-2021,15.65,16.41,12.23,16.09,2.81
08-Oct-2021,16.16,16.4,15.53,15.65,-3.16
07-Oct-2021,17.33,17.33,14.45,16.16,-6.75
06-Oct-2021,16.4,17.59,16.11,17.33,5.67
05-Oct-2021,16.74,17.13,16.3,16.4,-2.03
04-Oct-2021,17.21,17.53,15.32,16.74,-2.73
01-Oct-2021,18.4,19.08,17,17.21,-6.47
30-Sep-2021,18.84,19.14,17.15,18.4,-2.34
29-Sep-2021,18.54,19.44,16.76,18.84,1.62
28-Sep-2021,18.05,18.57,15.37,18.54,2.71
27-Sep-2021,16.92,18.14,13.52,18.05,6.68
24-Sep-2021,16.6,17.33,12.77,16.92,1.93
23-Sep-2021,16.49,16.94,10.31,16.6,0.67
22-Sep-2021,16.52,16.86,13.28,16.49,-0.18
21-Sep-2021,17.49,18,13,16.52,-5.55
20-Sep-2021,15.23,17.81,10.23,17.49,14.84
17-Sep-2021,14.41,15.65,12.14,15.23,5.69
16-Sep-2021,13.73,14.53,9.03,14.41,4.95
15-Sep-2021,13.58,13.88,12.37,13.73,1.10
14-Sep-2021,14.03,14.03,10.87,13.58,-3.21
13-Sep-2021,13.94,14.78,11.92,14.03,0.65
09-Sep-2021,14.41,14.41,13.64,13.94,-3.26
08-Sep-2021,14.9,15.06,12.49,14.41,-3.29
07-Sep-2021,15.11,15.23,14.59,14.9,-1.39
06-Sep-2021,14.54,15.28,14.06,15.11,3.92
03-Sep-2021,14.24,14.65,13.58,14.54,2.11
02-Sep-2021,14.19,14.39,13.61,14.24,0.35
01-Sep-2021,14.52,15.63,13.9,14.19,-2.27
31-Aug-2021,13.32,14.77,12.64,14.52,9.01
30-Aug-2021,13.41,13.69,12.4,13.32,-0.67
27-Aug-2021,13.54,13.76,12.94,13.41,-0.96
26-Aug-2021,13.5,14.2,12.11,13.54,0.30
25-Aug-2021,13.19,13.97,12.27,13.5,2.35
24-Aug-2021,13.69,14.51,13.1,13.19,-3.65
23-Aug-2021,14.02,14.44,12.73,13.69,-2.35
20-Aug-2021,12.91,14.14,12.35,14.02,8.60
18-Aug-2021,13.41,13.41,11.12,12.91,-3.73
17-Aug-2021,13.46,13.61,12.03,13.41,-0.37
16-Aug-2021,12.99,13.66,11.38,13.46,3.62
13-Aug-2021,12.37,13.16,11.4,12.99,5.01
12-Aug-2021,12.71,12.82,11.36,12.37,-2.68
11-Aug-2021,12.71,13.33,10.47,12.71,0.00
10-Aug-2021,12.61,13.07,9.98,12.71,0.79
